Section,Material,F,fp,ft,m_i,F_pyro,eta_pyro,F_hydro,eta_hydro
Material_Data,Lithium,0.017721153,0.2,0.7,7.76603295,0,0,1,0.91
Material_Data,Cobalt,0.015048425,0.7692,0,6.594749566,0,0,1,0.84
Material_Data,Nickel,0.119897131,0.4,0.4,52.54314374,0,0,1,0.84
Material_Data,Copper,0.0769,0.6667,0.2,33.70028737,0,0,1,0.96
Material_Data,Manganese,0.01402831,1,0,6.14769911,0,0,1,0.84
Material_Data,Aluminum,0.1211,3,0.3,53.0702835,0,0,1,0.93
Material_Data,Iron,0.2277,0.585,0.5,99.7861565,0,0,1,0.95
,,,,,,,,,
Parameter,Value,Unit,Description,,,,,,
m_re_total,84.67577841,kg,Total recycled material mass,,,,,,
m_vir_total,316.0023891,kg,Total virgin material mass,,,,,,
m_c_i,51800,,,,,,,,
m_out_c_i,22640,,,,,,,,
C_trans,1.24,$/kg,,,,,,,
C_energy,4.4655,$/kg,,,,,,,
C_labor,0.53,$/kg,,,,,,,
C_total,29.77,$/kg,,,,,,,
wrr,0.95,,,,,,,,
wte,0.93,,,,,,,,
m_residuals,10,kg/year,Mass of product residuals,,,,,,
m_emissions,5,kg/year,Mass of emissions,,,,,,
m_landfill,15,kg/year,Mass of landfill waste,,,,,,
m_product_M7,438.2352,kg/year,Total product mass for M7,,,,,,
m_landfill_percent,0.19,,,,,,,,
n1,0.21,,,,,,,,
n2,0.23,,,,,,,,
n3,0.17,,,,,,,,
n4,0.18,,,,,,,,
n5,0.2,,,,,,,,
m_waste,27.76899297,kg,Waste produced during manufacturing,,,,,,
m_natural_resources,306.7646445,kg,Natural resources utilization,,,,,,
m_product_R1,438.2352064,kg,Mass of final product for R1,,,,,,
m_remanufactured,8.764704128,kg/year,Mass of remanufactured batteries,,,,,,
F_EV,0,fraction,Fraction returned to EV use,,,,,,
F_generation,0.1,fraction,Fraction for generation-side storage,,,,,,
F_user,0,fraction,Fraction for user-side storage,,,,,,
